Nama Perusahaan,Termin,Pekerjaan,Fee,BULAN,WEEK,ESTIMASI CASH IN,PIC
PT Waskita Transjawa Toll Road,Third,Audit 31 Des 2024,"16,380,000",MARET,MINGGU 3,APRIL,NILUH
PT Waskita Transjawa Toll Road,Final,Audit 31 Des 2024,"16,380,000",APRIL,MINGGU 3,MEI,NILUH
PT Kresna Kusuma Dyandra Marga,Third,Audit 31 Des 2024,"16,380,000",MARET,MINGGU 3,APRIL,NILUH
PT Kresna Kusuma Dyandra Marga,Final,Audit 31 Des 2024,"16,380,000",APRIL,MINGGU 3,MEI,NILUH
Yayasan Masa Harapan Depan Cerah,Final,audit 31 MEI 2024,"16,000,000",MARET,MINGGU 2,APRIL,KIKI
PT Taawun,Final,SPT Badan 2024 dan pendampingan diskusi pajak,"16,000,000",APRIL,MINGGU 3,MEI,ELIN
PT D&V International Makmur Gemilang,Final,"Implementasi PSAK 71, 72, 73 per 31 des 2024","15,800,000",MEI,MINGGU 2,JUNI,"SALLY,VERO,ANDINI"
PT Surya Bali Makmur,Final,"Implementasi PSAK 71, 72, 73 per 31 des 2024","15,800,000",MEI,MINGGU 2,JUNI,"SALLY,VERO,ANDINI"
PT Daya Lestari,Second,audit 31 des 2024,"15,000,000",MARET,MINGGU 1,APRIL,GRESSY
PT McMOL,Lumpsum,translasi currency,"15,000,000",MARET,MINGGU 3,APRIL,LINA
Mandara Spa Indonesia,Final,Audit 31 Desember 2024,"15,000,000",APRIL,MINGGU 2,MEI,GRESSY
PT Bahari Pelabuhan Indonesia,Second,Audit 31 Des 2024,"15,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Tilaka Nusa Teknologi,Final,Audit 31 Des 2022,"15,000,000",MARET,MINGGU 3,APRIL,SERLI
PT Tilaka Nusa Teknologi,Final,Audit 31 Des 2023,"15,000,000",MARET,MINGGU 3,APRIL,SERLI
PT Tilaka Nusa Teknologi,Final,Audit 30 Sept 2024,"15,000,000",MARET,MINGGU 3,APRIL,SERLI
KSO Parung panjang,Final,Audit 31 Des 2024,"15,000,000",MARET,MINGGU 3,APRIL,TERRY
KSO Sentraland,Final,Audit 31 Des 2024,"15,000,000",MARET,MINGGU 3,APRIL,KIKI
PT Taawun,Second,SPT Badan 2024 dan pendampingan diskusi pajak,"15,000,000",MARET,MINGGU 3,APRIL,ELIN
PT Tunas Alam Nusantara,Final,audit 31 des 2024,"14,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Propernas Nusa Dua,Final,Audit 31 Des 2024,"14,000,000",MARET,MINGGU 3,APRIL,GRESSY
